100% orange pulpée carrefour,43,0.72,8.8,0.17
100% pur jus carotte bio casino,32,0.5,7,0
100% pur jus de mandarine - jaffa star,46,0.9,9.59,0.3
100% pur jus d'orange auchan,48,0.5,11,0.1
100% pur jus d'orange casino,48,0.5,11,0.2
100% pur jus d'orange goldhorn,44,0.8,9,0.2
100% pur jus Multi fruits U,51,0.3,12,0.5
Alpro Soya vanille lait,54,3,6.5,1.7
Amandina vegetal,57,1.1,5.8,3.3
Amandina choko (perl'amande),77,1.4,10.5,3.3
Ananas pressés (andros),50,0.3,12,0.1
Anis sirop à l'eau (une dose de 10g),33,0,8.2,0,1 unité
Anisette,320,0,40,0
Aptonia hydra energie,372,0.5,91,0.5
Arancia rossa fruitissima (jus de pamplemousse rose),45,0.2,10.5,0
Armagnac,250,0,0,0
Avocat au crabe,190.4,4.2,1.5,18.6
Babicao,393,9,82,2.5
Badoit,0,0,0,0
Banania+lait écrémé,86.5,4.6,12.7,1.75
Benco ( chocolat en poudre ),391,5.6,87,2.3
Beurre du québec,700,1,0,80
Biere brune 65 pelforth,47.2,0.48,5.2,0
Bière désalcoolisée (<0,5% alcool par volume),60,0.29,13.46,0.12
Boisson amande casino bio,48,1.2,2.8,3.6
Boisson au jus d'orange (lidl),38,0.1,9.1,0.01
Boisson au jus d'orange à diluer,170,0.6,42.4,0.6
Boisson au maïs,30,0.82,8.89,0
Boisson au quinoja et soja au chocolat - jardin bio,82.9,3.9,11.4,2.4
Boisson au riz Auchan Bio,114,0.1,11.2,1.3
Boisson au RIZ Bio (Auchan),57,0.1,11.2,1.3
Boisson au riz Calcium Casino,63,0,13,1.2
Boisson au riz carrefour bio,68,0.1,14,1.2
Boisson au riz lima,47,0.1,9.4,1
Boisson au soja Bio Calcium (Leader Price),45,3.2,4,1.7
Boisson au soja chocolat,71,3.4,9.7,2.1
Boisson au soja chocolat Bio U,76,3.7,10.1,2.1
Boisson au soja chocolat carrefour bio,66,3.4,8.4,1.9
Boisson au soja chocolat SOY ,75,3.8,9.3,2.3
Boisson au soja enrichi en calcium carrefour,47,3.8,3.5,2
Boisson au soja goût chocolat Delhaize,67,3,9.7,2
Boisson au soja nature (Bio regain),40,3.8,1.1,2.1
Boisson au soja nature BIO leader price,32,3.2,0.8,1.8
Boisson au soja nature bio u,41,3.8,1.9,2
Boisson au soja nature sojasun,36,3.8,0.5,2.1
Boisson au soja saveur chocolat bio auchan,76,3.7,10.1,2.1
Boisson au soja saveur vanille bio auchan,59,3.7,6.1,2.1
Boisson aux amandes Almond Fresh non sucrée,14,0.4,0.4,1.2
Boisson aux amandes en poudre instantanée ajoutée de calcium ecomil,402,13.9,56.9,14.9
Boisson aux fruits pomme/poire,41,1,10,0
Boisson soja calcium bio village,50,3.5,3.5,2
Boisson soja Dia,47,3.6,3.5,1.9
Boisson soja enrichie calcium casino,38,3.8,2.6,1.4
Boisson soja nature auchan,55,3.4,6.4,1.7
Boisson soja nature Bio Village,37,3.7,1.1,1.8
Boisson soja nature carrefour,40,3.6,2.1,1.9
Boisson soja nature SOY,41,3.8,1.3,2.4
Boisson soja saveur chocolat carrefour,73,3.5,9.9,2.2
Boisson soja vanille (Soy),58,3.5,6.6,2
Boisson soja vanille bio carrefour,50,3.2,4.9,1.8
Bonjour de nestle,449,15.5,53,17
Bonneterre boisson riz epeautre noisette,78,1.2,10.7,3.1,1 part
Bouillon Légumes Coop Weight Watchers,196,12,32,1.5
Bubble tea nature,96,0,24,0
Burn,24,0,5.9,0
Burn day,49,0.25,11.4,0
Burn intense energy,61,0.4,14.3,0
Byrrh,149,0,15,0
Cacao granulés casino tom et pilou,373,5.2,81,2.9
Cacao maigre eco +,390,3,88,1.5
Café Crème brûlée Tassimo,76,2,12,2.4,1 portion
Café en poudre,346,14,72,0.25
Café en poudre "nescafé spécial filtre",118,7.8,3.1,0.2
Café expresso,2,0.12,0,0.18
Café frappé gerlinéa,89,6.7,9.9,2.5
Café Gourmet Crème Brûlée TASSIMO,76,2,12,2.4,1 unité
Café gourmet tassimo,65,2.6,11.3,1.6
Café infusé,1,0.12,0,0
Café instantané en poudre, avec chicorée,64,1.71,13.62,0.04
Cafe liegeois,139,2.8,16,7.2
Café mocha glacé,52,1.2,9.2,1.2
Cafe senseo,2,0.2,0.3,0
Café Senseo Brazil,2,0.2,0.3,0
Café senseo corsé,25,0,3,1,1 portion
Café senseo speculoos,37,0.8,4.8,1.6
Cafe soluble nes de nescafe,118,7.8,3.1,0.2
Café soluble Qualité Filtre Belle France,123,11.2,8.2,0.1
Cafe viennois nescafe,69,1.4,11.8,2,1 portion
Caffè Latte Tall Nonfat Milk - Starbucks - Gat,100,10,15,0.2,1 unité
Caffè lungo dolce gusto,1,0.1,0.1,0.1,1 portion
Caffè Mocha (Without Whipped Cream) Tall Nonfat Milk - Starbucks - Gat,170,10,32,2
Calories bière,40,0.5,3.3,0
Calories coca-cola,140,0,35,0,1 canette
Calories sirop,352,0,88,0
Calvados,252.4,0,0.1,0
Campari,228,0,24,0
Canada dry,37,0,9,0.01
Candy choco de candia,82,2.6,12.8,2.3
Candy chocolat,82,2.8,12.8,2.6
Capri-Sun Safari Fruits,40,0,9.7,0
Capuccino casa colon,52,8.6,1.1,1.5,1 unité
Capuccino dolce gusto,411,17.4,33.7,20.1
Capuccino Domi,36,0.9,6.2,0.7
Capuccino milka dosette,415,7.6,68.5,12.5
Capuccino saveur chocolat planteur des tropiques,373,8.5,72.5,5.5
Capuccino tassimo,120,8.5,12,4.5
Capuccino Vanille Nescafé,42,0.9,7.5,0.9
Carrefour - jus de fruit multifruits 5 vitamines,50,0.5,11.5,0
Céréales Macadamia riz millet,70,0.5,11,2.6
Champagne,60,0,8.6,0
Champomy pomme,55,0.4,11.7,0.6
Chicoree au caramel (leroux),336,3.5,51.2,1.3
Chicorée bonjour,424,14.5,51.2,16
Chicorée café au lait soluble carrefour,438,17,54,17
Chicorée café plantation Leclerc,330,11,59,3
Chicorée douce café leroux,242,10.2,41.3,1
Chicorée douce chocolat leroux,289,5.4,55.2,2.6
Chicorée douce vanille leroux,254,2.4,50.4,0.5
Chicorée soluble nature (leroux),290,4,57.4,2.5
Citronade Andros,27,0,6.7,0
Citrus Honey Black Tea,13,0,3.3,0
Clémentine pur jus leader price,46,0.6,10.5,0.2
Clinutren repair,127,9,16,3
Coca cola,42,0,10.5,0
Coca cola canette,139,0,35,0,1 canette
Green shot - gaspacho vert,18,0.6,1.3,1.2
Grenade (gaylord hauser) jus,49,0.2,11.7,0.2
Grenadine pétillante river,40.8,0,10,0
Guiness,35,0.3,0,3
Hachis parmentier bolino,301,11.3,42,9.8,1 portion
Henniez Mango Yuzu,13,0,3,2.8
Henniez Orange Grapefruit,13,0,3.1,2.9
Henniez Passion Kiwi,13,0,3.1,2.8
Herbalife Boisson à l'aloe vera saveur mangue,13,0,0,0
Herbalife boisson instantanée à base de thé et d'extraits végétaux arôme citron,361,11,79,0
Hollywood drink,241,0.9,27.9,0.2
Horchata de chufa chufi,72.2,0.6,12.5,2.2
Hotcemel,368.42,14,73,1.5
Ice tea citron (river),38,0,9.1,0
Ice Tea Citron - 365 Delhaize,35,0,8.8,0
Ice tea light lipton,3,0,0,0,1 canette
Ice tea lipton pétillant,35,0.5,8,0
Ice tea peche,26,0.1,6.4,0.1
Ice tea pêche light,1,0,0.1,0
Ice the saveur peche,30,0,7.1,0
Jafaden - jus de pomme à base de concentré,46,0.4,10.8,0.1
Jafaden - jus d'ananas à base de jus d'ananas concentré,52,0.5,12.4,0.1
Jafaden tropical (marque repère),40,0,9.5,0
Jafaden tropical light (marque repère),5,0,1.5,0
Jus de fraise/framboise casino,36,0.1,9,0
Jus de fraises Netto,54,0.3,13.4,0.3
Jus de framboises en berlingot wicky, vitamine c ajoutée,42,0,10.2,0
Jus de fruit 100% pur jus 4 agrumes u,45,0.5,10.6,0
Jus de peche - jaouda,54,0.4,13,0
Jus de poire,64.5,0.2,15.7,0.1
Jus de poire carrefour,45,0.2,10.8,0.1
Jus de poire nectar Auchan,49,0.3,11.4,0.1
Jus de pomme,45.3,0.1,11,0.1
Jus de pomme ( everyday ),43,0.1,10.2,0.1
Jus de pomme (andros),49,0.1,11,0.5
Jus de pomme - pouce auchan,44,0,11,0
Jus de pomme 100% fruit coop,44.5,0,11,0
Jus de pomme aldi,43,0.2,10.3,0.05
Jus de pomme bio (PureFruit) Aldi,45,0,11,0
Jus de pruneau - BIO VILLAGE Marque Repère,73,0.1,17.8,0.1
Jus de pruneaux bjorg,77,0.3,18.8,0
Jus de pruneaux gaylord hauser,79,0.5,19,0.1
Jus d'ananas concentré, congelé et dilué,52,0.4,12.77,0.03
Jus d'ananas concentré, congelé et non dilué,77,1.16,19.69,0.25
Jus d'ananas Oasis,41,0.1,9.9,0
Jus d'ananas paquito (sélection intermarché),58,0,13,0
Jus d'ananas Tropicana 100% pure pressed juice,55,0.4,12.5,0
Jus d'orange,35,0.1,8.2,0.1
Jus d'orange ( aldi ) briquette,38,0.13,9.2,0.1
Jus d'orange à la carotte monoprocesseur,43,0.9,9.9,0
Jus d'orange aldi,44,0.8,9,0.2
Jus d'orange avec pulpe (éco+ leclerc),45,0.5,11,0
Jus d'orange avec pulpe jafaden (marque leclerc),45,0.5,11,0
Jus d'orange Bien Vu,40,0.7,9,0.03
Jus d'orange caraïbes leader price,43,0.7,8.9,0.2
Jus d'orange carrefour 100% pur jus,47,0.7,11,0
Jus d'orange citron sunland plus (makro),41,0.8,9.4,0
Jus multifruits fruité,51,0.2,12.8,0
Jus multifruits jafaden,45,0,11,0
Jus multifruits jafaden(marque repère),45,0,11,0
Jus multivitaminé (carrefour),44,0.5,11,0
Jus multivitamine Auchan,43,0.1,10.5,0.1
Jus multivitaminé vitafit lidl,51,0.4,11.6,0.1
Jus Nectar Multivitaminé Linessa de Lidll,25,0.2,5.3,0
Lait végétal "nature de riz" bjorg,51,0.1,9.6,1.4
Latte Macchiato Caramel TASSIMO,93,3.3,11,1.8,1 unité
Latte macchiato dolce gusto,89,4.3,9.1,4.2,1 unité
Le nectar réa orange,41,0.5,9.5,0.1
Les pommes duchesse,170,4,24,7
Liebig Soupe Thaï en brique,46,0.8,4,2.7
Lima lait végétal "rice drink noisette-amande",81,0.7,10.7,3.9
Limo Granini,37,0.5,8.8,0
Limonade,38,0,10,0
Limonade freeway lemon (lidl),42,0,10.3,0
Lipton Ice Tea Brisk Fruits Rouges (Tea Dragon Fruit) (1 canette),126.5,0.5,30,0.5,1 canette
Lipton Ice Tea Brisk Fruits Rouges (Tea Dragon Fruit) (),33.7,0.5,6.8,0.5
Lipton Ice Tea Brisk Pomme (1 canette),130.5,0.5,31,0.5,1 canette
Lipton Ice Tea Brisk Pomme (),34.9,0.5,7.1,0.5
Lipton ice tea pêche,30,0,7.1,0
Lipton linea,1,0,0.2,0
Lipton thé caramel,4,0.5,0.5,0
Lipton thé vert façon Cupcake Fraise,4,0.5,0.5,0
L'instant fruit et légumes,72,2,15.1,0.4
Materne jus d'orange,47,0.6,11,0.1
Matin plaisir jus d'orange 100%,45,0.7,9.4,0.2
Milo canette ,149,4.8,24,3.8,1 canette
Mincidélice boisson hyperprotéiné chocolat,100,18,2.6,1.4,1 portion
Minute maid orange,46.8,0.7,11,0
Minute maid pomme,47,0.1,11,0
Multi fruits Marque repère Jafaden (Rom),44,0.2,10.7,0
Multi vitamines Andros,54,0.6,12,0.1
Multifruits & oméga 3 - leader price,51,0.7,12,0.1
Multifruits carrefour,58,0.5,13.1,0.2
Multifruits pur jus leader price,47,0.6,10.8,0.2
Multivitamines REA,45,0.2,10.6,0.1
Muscle low card (weider),47,8.2,2.8,0.3
Nectar 12 fruits (dia),20,0.2,4.4,0.04
Nectar 12 fruits 8 vitamines "cora",52,0.3,12.5,0.1
Nectar 13 fruits Dia,48,0.2,11.6,0.2
Nectar 15 fruits Casino,50,0.6,12,0
Nectar de banane Auchan,55,0.3,13.5,0
Nectar de banane casino,62,0.3,15,0.1
Nectar orange banane jafaden,44,0.3,10.3,0.1
Oasis light à l'orange,13,0.1,2.5,0
Oasis light orange,13,0.1,2.5,0
Oasis light tropical,9,0.1,1.8,1.01
Oasis orange sanguine/canneberge/grenade,48,0.2,23.6,0
Oasis oranges,44,0.1,10,0
Oasis pomme cassis framboise,43,0,10,0
Oasis pomme-poire,40,0,9.8,0
Oasis tropical,38,0,9.3,0
Océan spray - cranberry & framboise,50,0,12.1,0
Ocean spray - cranberry & myrtille,48,0,11.6,0
Pampryl, nectar d'orange,43,0.2,10.3,0.1
Paquito - douceur du matin,52,0.5,12,0.2
Pâte de miso,217.5,11.7,26.5,6
Pepsi,44,0,11,0
Pepsi max,0.5,0.1,0.1,0
Pepsi next,99,0,27.8,0,1 canette
Perfect shape,195,25,15,3,1 unité
Perrier,0,0,0,0
Perrier saveur citron ,sans sucres,0.3,0,0,0
Pineau des charentes,117,0,0,0
Pomme de terre,90,2,19,0
Pom'Potes Materne BIO,69,0.4,15,0.5
Pur jus multivitaminé casino,53,0.5,12.5,0
Pur jus orange mandarine raisin,230,0.5,13,0
Ricoré,91,3.3,18.7,0.2
Ricoré au lait,81,2.8,9.5,3.1,1 part
Ricoré nestlé (janv 09),91,3.3,18.7,0.2
Schweppes agrum'light,1.9,0,0.2,0
Schweppes fruits rouges et cramberry light,1.2,0,0.1,0
Schweppes noix de coco,29,0,7,0
Seattle Latte de Starbucks,154,6.16,20.02,5.72,1 canette
Secrets de grand-mère knorr tomates, oignons, croutons,41,0.9,6.6,1.3
Senseo : cappuccino,60,1.5,7,3
Senseo café choco,34,0.9,4,1.5
Senséo chocobreak,60,0.8,10,17
Seven up light,0.2,0.1,0.1,0
Shark energy drink,146,0.1,35,0,1 canette
Sihouette active,45,3.95,5.25,1.15
Silhouette active,48,3.85,5.05,1.35
Sirop bigallet citron jinot,281,0,66.1,66
Sirop citron Plein sud,250,0,62,0.3
Sirop de cassis Casino,326,0.1,81,0.1
Sirop de cassis delhaize,342,0.1,80,0.1
Sirop de citron sport,264,0,63.8,0
Sirop de Fraise Grand Jury,356,0,88.9,0
Sirop de fruit de la passion auchan,304,0.1,76,0
Sirop de grenadine ( everyday ),278,0,69.4,0
Sirop de grenadine alléga en sucre,340,0.1,85,0.1
Soja douceur et calcium d'origine végétale** : bjorg,58,3.8,5.2,2.4
Tropicana orange,sanguine,citron,44,2,23,0
Tropicana pamplemousse rose pressé,40,0.6,8,0
Tropicana pommes douces,49,0.2,11.8,0.05
Tropicana pur premium ruby breakfast,45,0.8,9.7,0
Tropicana pure premium pamplemousse rose,39,0.5,7.6,0
Tropicana pure premium pulpissimo,47,0.8,10,0
Tropicana Pure Premium: Orange & Mangue,40,0.6,8.3,0.1
Tropicana réveil des tropiques,45,0.5,10.6,0
Vitafit jus d'orange 100 % teneur en fruit,40,0.7,8.3,0.03
Vitalday fruit & veggie,65,0,13,0
Vitamin water dragon fruit,19,0,4.6,0
Vittel fruits framboise-myrtille,16,0,4,0
Vittel fruits orange-pamplemousse,14,0,3.7,0
Vittel fruits pomme-poire,16,0,4,0
Vittel grande source,0,0,0,0
Vittel hydratation et énergie,22,0,5.5,0